NotaCN,NotaCH,NotaLC,NotaMT,NotaRE,Sexo,EscolaPublica,Cor
588.8,596.8,570.7,657.4,880,M,S,Pr
464.5,523.4,520.6,457.6,660,F,S,Pr
373.2,531.9,469,407.4,380,F,S,B
443.6,557.4,545.1,420.5,680,M,S,Pa
424.2,453.6,502.1,465.2,560,F,S,A
520.8,502.8,503.1,566.1,440,M,S,B
488.8,502.7,532.9,559.7,560,F,S,Pr
460.4,528.6,572.4,477.5,800,F,S,B
449.3,564.4,562.3,666.3,640,M,S,B
443.4,381.6,403.8,370.8,420,F,S,Pr
557.9,654.7,603.5,712.2,840,F,S,B
399.3,461.8,355.3,550.7,560,M,N,B
551.3,548.8,565.8,709.6,840,M,S,B
446.4,378.6,467.3,618.1,580,M,N,B
393.8,456.9,405.3,402.2,600,M,S,Pr
452.4,408.3,523.2,502.2,860,F,S,A
554.2,600.3,577.3,476,780,M,N,B
421.8,405.2,534.3,575.6,580,F,S,B
384.9,498.2,501.1,487,640,F,S,Pr
405,482.5,593.1,372.8,380,F,S,Pa
568.2,532.5,579.9,637,700,M,N,B
423.1,488.5,498.1,452.6,620,F,S,Pa
509.5,521,540.5,463.3,660,M,S,Pr
548.4,556.2,518.8,650.1,780,F,N,A
470,481.2,435.8,547.8,360,M,S,B
445.2,403.6,466.8,422.8,840,F,S,Pr
508.8,497.8,466.7,390.2,540,M,S,Pa
341.5,435.2,464.2,412.3,640,F,S,Pr
376.2,523.6,527.9,389.2,440,F,S,Pr
495.4,584,574.7,723.9,680,F,S,Pr
374.1,432.3,429.4,409.8,480,F,S,B
552.3,517.1,541.5,560.1,580,F,S,B
364.6,436,454.4,408.6,560,F,S,Pa
483.2,524.5,546.4,584.7,460,F,S,B
536.3,617.5,589.7,676.7,620,M,S,B
400.9,452.5,474.1,411.8,480,F,S,Pr
381.7,440.9,473.6,363.1,540,F,S,Pr
392,490.3,516.1,408.4,460,M,S,Pa
547.5,545.6,540.8,592.1,580,M,S,B
370.1,332.6,469.8,447,480,F,S,B
396,442,412.3,443.5,400,M,N,Pr
376.5,526.5,508.9,432.9,600,F,S,Pr
450.3,475.8,405.1,374.6,600,F,S,Pr
605.2,619.5,581.3,781.5,760,F,N,B
411.7,455.8,393.4,559.2,420,M,S,Pr
374.7,575.1,554.1,388.5,800,F,S,Pr
598.7,661.5,638.7,646.6,680,F,S,Pr
561.8,595.7,584.8,592.3,620,F,N,Pr
449.6,454,505.8,436.3,380,F,S,Pr
585.2,543,559.2,528.2,640,M,S,Pr
437.3,474.3,459.7,502.2,420,M,S,Pr
514.9,617.8,567.3,678.4,680,M,S,B
375,468.6,514.4,443.2,640,M,N,B
453.6,467.8,510.1,411.4,600,F,S,Pr
468.1,315.9,370.1,389.8,460,M,N,Pa
547.9,561.4,574.9,723.6,940,F,S,B
458.1,529.1,501.8,400.4,640,F,S,A
577.8,621.2,601.9,727.3,840,F,N,B
461.1,500.3,540.4,406.5,300,F,S,B
526.4,591.8,605,654.8,960,F,S,B
390.5,485.2,399.1,448.4,420,F,S,A
533.5,533.4,482.4,701.1,600,M,N,B
474.7,569.3,544.2,535,860,F,S,Pr
509.1,446.1,479.4,412.2,400,M,S,Pr
511.7,553.9,520.5,553.7,860,F,S,Pr
418.7,451.8,488.4,404.3,480,F,S,Pr
457.3,501.3,479.4,433.7,540,F,S,B
501.8,587,579.3,528.4,740,F,N,Pr
511.7,521.4,577.6,635.7,760,F,S,Pr
397.9,515.9,562.7,415,700,M,S,Pr
358,395,370.7,435.6,180,M,S,B
425.7,411,448.7,508,740,F,S,B
411.1,427.8,519,414,600,F,S,Pa
567.4,577.4,512.4,493,720,F,S,Pr
409.9,453.4,409.2,428.2,540,F,S,Pr
644.2,630.7,626.8,720.7,740,M,S,B
360.2,467.6,468.1,603.1,560,M,S,Pr
531.3,550.4,537,433.8,340,F,S,Pr
551.4,590.8,600.4,635.5,660,F,S,Pr
375.1,420.5,392.5,494.2,340,F,S,B
542.9,538.4,547.7,598,480,F,S,B
417.4,602.3,431.9,497.1,680,M,N,Pa
562,499.2,529.7,454.6,560,M,S,Pr
557.8,664,600.9,724.2,680,M,S,B
436.7,414,428.4,430.5,460,M,S,Pa
364.2,401.7,333.5,495,360,F,S,Pr
469.9,579.7,546.7,411.6,680,M,S,Pr
339.7,509.6,471.6,412.6,480,F,S,B
586.4,543.9,590.8,743.6,700,M,N,B
420.6,402.8,364,442.6,480,M,S,B
525.5,557.6,566.7,699.8,600,M,N,B
449.3,488,482.9,427.7,420,F,S,Pr
520.5,530.7,553.4,632.5,540,M,N,B
559.5,617.8,579.4,665.2,880,F,N,B
552.2,524.1,590.6,672.4,700,M,N,B
379,503.1,453.1,436.8,560,M,S,Pr
508.2,576.7,547.2,484.5,640,F,S,Pr
540.3,529.6,565.9,574.9,760,M,S,B
498.6,523.3,561.9,527.9,720,F,S,Pr
390.6,454.7,507.8,383.3,500,F,N,B
409.4,491.3,468.6,451.8,440,F,S,Pr
391.8,437.4,531.6,515.4,560,F,S,Pr
347.7,435.1,336.5,391.9,400,M,S,Pr
531.6,550.8,513.1,669.6,680,M,S,B
578.9,507.5,623,556.6,880,M,S,Pr
384.8,460.4,487.8,407.2,360,F,S,B
572,635.6,569.9,707.3,720,F,S,Pa
449.7,510,549.4,414.7,440,M,S,Pa
387.6,408,457.7,402.1,500,F,S,B
484.2,503.7,576.6,440.9,700,F,S,B
505.1,533.6,541,496.9,720,M,S,Pr
510.8,454.2,537.1,529.4,580,M,S,Pr
395,417.7,509.5,475,500,F,S,Pr
392.4,396.9,414,427.7,480,M,S,Pr
558,605.9,601.6,538,780,F,S,B
487.2,557.5,556.1,406.1,660,M,S,Pr
467.3,554,570.6,494.8,520,F,S,Pr
400.9,501.8,544.5,619.3,560,M,S,Pa
403.4,500.5,520.7,395.5,540,M,S,Pa
543.5,508.1,524.9,380.2,560,F,S,B
387.5,476.6,483.7,433,600,F,S,B
449.4,500.5,513.9,561.1,600,F,S,Pr
461.4,489.6,465.8,439.6,660,F,S,Pr
397,530.1,472.7,422.7,540,F,S,Pa
467.5,562.8,520.4,676.2,520,M,S,B
405.7,352.9,470.9,507.6,320,M,S,B
479.5,504,570.1,478.7,520,M,S,B
417.6,478.9,489.8,607.6,560,F,S,B
488.1,556,495,541,740,M,S,A
488.6,607.3,590.2,671.9,580,F,S,B
482.3,509.5,511.1,429,600,M,S,Pa
408.1,465,523.6,441.7,600,M,S,B
469.1,397.5,470.9,399.5,540,F,S,Pa
510.6,473.2,529.7,537.3,580,F,S,B
400.4,525.2,473.8,379.1,500,F,S,Pr
388.4,455.2,521.5,509.5,440,F,S,Pr
458.1,499.2,515.2,488.2,540,F,S,Pr
545.4,622.2,593.9,706.1,880,F,N,Pr
547,561.3,559.8,690.9,580,M,S,Pa
475.6,347.7,430.3,438,560,M,S,Pr
510.7,554.6,555,511.6,740,M,S,B
429.8,514,535.2,402.5,380,M,S,B
569.5,645.9,614.2,730.2,800,M,N,Pr
588.8,580.3,633.1,700.6,680,M,S,Pr
500,477.4,515.8,514,720,M,S,Pr
609.5,659.2,604.9,827.2,920,M,N,Pr
527.5,453.8,578,600.1,600,F,N,B
466.2,536.2,514.1,525.5,540,F,S,Pa
409,510.5,537.1,467.1,540,F,S,Pa
425.1,431.1,513.7,454.8,620,F,S,Pr
447.8,455.8,490.5,491.9,520,F,S,B
344.3,393.6,475,451.5,340,F,S,Pr
423.6,569.5,498.1,550,500,F,N,Pr
381.9,504.3,508.9,426.6,360,M,S,Pr
535.4,524.4,513.1,645.9,660,M,S,B
479.2,335.1,505.4,440.1,720,M,S,Pr
409.9,473.1,468.4,498.2,620,F,S,Pr
624.4,689.7,622.1,728.9,940,M,N,B
418.9,481.7,437.2,488.5,200,M,S,Pa
542.7,488.8,449.3,469.4,720,F,S,Pa
405.5,454,419.8,432.5,340,F,S,B
396.6,496.3,551.9,502.4,560,M,S,B
444,512.5,395.4,396,360,M,S,Pr
517.9,522.9,560.8,669.8,540,M,S,Pr
400.9,561.6,514.8,482.6,560,F,S,B
480.5,593.8,563.8,567,700,M,S,B
454.3,577.5,584.5,627.1,620,F,S,B
435.7,500.2,542.2,509.6,500,M,S,Pr
570.8,560.6,540.1,509.8,560,F,S,A
488.3,450.1,505.4,510.6,680,F,S,Pr
561.4,573.8,561.5,477.2,480,F,S,Pa
472.2,482.5,559.2,544.5,640,M,S,B
538.9,536.4,511.5,644.7,560,M,S,Pr
523.3,551.8,587.5,660.2,660,M,S,B
576.6,630.4,607.5,671.1,740,M,S,B
571.5,662.7,638.7,696,880,M,S,Pr
389.7,406.3,490,421.3,540,M,S,B
341.2,427.8,392.6,401.8,340,M,S,Pr
546.3,566.3,562.4,642.2,580,M,S,B
600,638,585.5,640.6,760,F,S,Pa
513.1,580.8,573.7,529,760,F,S,B
447,537.9,568.9,395.9,320,M,S,B
595.7,609.1,594.3,682.4,780,M,S,Pr
466.2,520,538.7,532.2,820,F,S,Pr
612.3,618,623.4,789.5,680,M,S,B
425.7,532.5,458.2,647.5,600,M,N,Pr
405.1,514.8,519.5,408.2,540,F,S,B
512.3,470,527,548.6,600,M,S,B
607.7,595.6,613.6,586.8,940,F,N,B
574.3,621,637.3,677.3,720,F,N,B
451.4,433.1,531.5,388.6,560,F,S,Pa
514.3,554.6,563.7,474.3,440,M,S,B
425.1,403.7,483.3,414.7,340,M,S,Pr
576.2,540,528.2,622.7,760,F,N,Pr
475.3,546.3,547.8,510.7,660,F,S,Pr
482.9,566.5,549.6,481.9,620,M,S,B
406.2,402.5,471.4,437,400,F,S,B
475.8,467.7,476.7,569.2,680,F,S,B
406.4,453.7,491.3,510.4,600,M,N,B
364.6,478.2,432.1,390.8,560,F,S,Pr
411.1,504.6,444.2,543.3,580,M,S,Pr
432.1,460.5,538.5,537.2,520,F,S,Pr
437.9,409.1,391.2,408.2,480,F,S,Pa
429.3,494.2,530.4,456.5,600,F,S,B
586.8,590.2,588.6,624.8,380,M,S,Pa
394.4,500,506.9,498.5,620,M,S,A
372.8,452.5,414.2,470.4,380,F,S,A
593.9,632,597.5,686,800,M,N,B
445.7,623.5,549.3,666.2,660,M,S,Pr
446.9,510.8,541.4,463.8,560,F,S,Pr
616.1,565.4,566.1,771,820,M,N,A
527.6,539.3,525.9,566.1,620,M,S,Pr
502.7,578.9,605,669.2,760,F,N,Pr
419.8,397.9,518.6,368.9,600,F,S,Pr
437.5,494.7,546.9,457.5,520,M,S,Pr
536.9,569.9,591.6,521.8,580,F,S,Pr
547.1,568.3,610.6,606.5,860,F,S,B
478.4,436.3,511,493.7,740,F,S,Pr
536.4,580.6,566.4,510.9,540,F,N,B
505.8,523.2,541.1,570.4,560,M,S,Pr
398.3,426.4,522.2,428.2,360,F,S,B
570,541.9,599.9,487.4,560,F,S,B
492.5,393.8,511.1,579.1,640,M,S,B
462.5,548.9,513.7,529.1,260,F,S,Pr
592.5,631,601.6,704.6,800,F,S,B
383.3,443.1,462.2,505.3,320,F,S,Pr
605.4,619.3,614,670.5,680,F,S,B
551.7,608.8,579.7,751.7,440,M,N,B
596,700.1,641.4,778.1,880,F,N,B
391.2,487.5,568.8,524.8,880,M,S,Pr
575,483,517.9,658.9,800,M,S,Pr
429.2,494,517.1,545.1,620,M,S,Pr
498,518.1,531.9,465.9,640,F,S,Pr
576.6,588,587.1,623.9,760,F,N,B
614.1,591.8,541.6,445.2,620,M,N,Pr
390,525.3,538.5,415.5,460,M,S,B
692.9,637.9,596.3,840.4,840,M,S,B
577.1,584.6,559.6,654.8,760,F,S,B
493.2,490.4,585.2,625,700,F,S,Pr
489.6,492.8,472.2,522.5,600,F,S,Pr
453.4,561.6,551.8,398.7,740,F,S,Pr
512.6,571,536.3,607.8,900,F,S,Pr
390.4,535.3,545.4,526.6,440,M,S,B
506.1,498.8,537.8,406.3,600,F,S,Pr
452.6,519.7,535.3,561.2,700,F,S,Pr
573.3,498.1,524.5,701.9,660,M,N,B
509.8,584.4,548.5,556.4,600,M,S,Pa
537.6,536.5,536,592.9,360,M,S,B
634.8,550.1,587.5,817.2,800,M,N,B
571.8,556,599.8,662.2,600,M,N,B
402.1,398.2,400.8,409.6,320,M,S,Pr
568.5,580.5,585.9,717.1,600,M,S,B
502.7,547.7,525.5,544.9,240,M,S,B
497.3,497.9,553.3,465.8,560,M,S,Pr
493.8,625.4,593.8,687.8,880,F,N,Pr
472.9,541.2,544.8,597.5,780,F,S,B
480.2,573.5,524.2,572.9,620,M,S,B
440.2,460.4,546.8,632,600,F,S,Pr
543.1,495.7,550.3,505.4,740,F,S,Pr
368.6,404.3,508.4,534.7,640,F,S,Pr
452,513,545.7,407.3,580,F,S,A
525.3,475.8,484.8,423.3,520,F,S,Pr
402.6,391.1,509.8,497.8,480,F,S,Pa
518.6,501.7,544,604.8,580,M,S,Pr
363.5,435.8,482.4,481.4,560,F,S,Pr
548.9,581.5,549.9,557.4,760,F,S,Pr
543.2,554.9,542.4,602.6,740,F,S,Pr
568.2,621.3,594,658.7,720,M,S,Pa
491.3,503.6,539.3,388.2,600,F,S,B
616.3,561.9,558,690.7,740,F,N,B
423,372.8,488.7,516.5,540,F,S,Pr
576.6,589.4,569,553.1,580,M,S,A
426.4,474.5,453.5,441.7,300,F,S,Pa
476.6,351.5,434.4,427.1,500,M,S,Pr
459.4,503.3,524.5,524.3,480,M,S,B
505.2,498.4,498.5,447.5,480,M,S,Pr
437.9,530.4,545.6,513.4,680,F,S,B
451,432.7,500.2,433.8,820,F,S,Pr
594.8,566.8,580.5,472.5,940,M,S,B
458.8,525.2,525.5,529.7,560,M,S,B
417.9,484.8,523.9,566.5,600,F,S,B
496.5,512.4,546.5,387.9,480,F,S,A
572.4,557.2,572.8,680.9,760,M,N,B
346.9,530.5,559.8,537,480,M,S,Pr
527.1,567.5,559.2,482,620,F,S,Pr
456.1,463.8,450,485.4,320,M,S,Pr
434.8,477.3,494.4,488.5,420,M,S,Pa
539.9,568.9,546.1,603.9,700,M,S,Pr
410.4,427.3,497.2,472.5,480,F,S,B
532.5,561.8,541.8,528.1,620,F,S,Pr
507.5,481.3,509.3,477.1,580,M,S,Pr
497.3,532.1,475.2,422.7,680,M,S,B
530.3,453,525.5,435.1,600,M,N,Pr
490.9,525.6,559.4,481.3,560,F,S,Pr
500.5,449,466.1,532.8,580,F,S,B
406.9,396.2,357.9,366.8,200,M,S,B
551.9,521.3,565.9,666.9,640,M,N,A
444.9,527.4,487.2,389.2,600,M,S,Pa
479.9,613.9,581,586.2,520,F,S,Pr
494.3,589.8,557.5,477.8,600,M,S,B
338.8,349.2,498.8,413.2,800,F,S,Pr
536.9,602.5,593.2,598.6,800,F,N,B
407.8,550.6,511.1,460.3,520,M,S,B
596.1,630.8,609,702.9,980,F,N,B
363.3,341.5,431.3,469.3,460,F,S,Pa
382.8,446.6,552.3,418.1,640,F,S,B
500.8,552.1,575.9,507.5,520,M,S,Pr
338,444.2,484.9,442,360,F,S,Pr
557.1,615.9,559.7,647.8,860,F,N,A
406.2,382.6,357.5,401.2,400,F,S,B
569.4,527.1,584.8,624,700,M,S,Pr
617.2,656.2,629.5,772.2,920,M,N,B
441.4,536.9,530.8,672.7,340,M,N,B
572.7,614.7,603.8,729.3,800,M,N,B
416,416,499.8,402.4,640,F,S,A
523,353,467.6,639.1,420,M,S,Pr
640.1,680.1,662.6,711,900,M,N,B
398.7,530.2,550.9,367.2,560,F,S,B
471.6,535.6,544.4,419.5,480,F,S,Pa
524.6,450.6,494.2,526,580,F,S,B
602.5,641.9,589.4,673.2,840,M,N,B
532.3,472,575,564.3,720,F,S,Pa
550.7,529.1,526.2,409.1,780,F,N,B
457.1,453.7,483.7,432.3,600,F,S,Pr
589.3,605.4,616.7,745.1,860,M,N,B
599.9,600.2,602.6,704,740,M,N,B
508.6,449.6,503,564.4,660,M,N,B
559.5,628,615.3,563.2,720,F,S,B
569.6,634.8,570.8,685.2,880,F,N,Pr
390.7,413.7,518.8,540.9,580,F,S,B
375,517.4,513.5,495,540,F,S,Pr
469.9,572.6,529.9,685.5,660,M,S,Pr
534.5,641.6,602.6,677.7,820,F,N,B
502.8,439,454.1,526.5,620,F,S,Pr
475.3,505.5,542.7,396.9,640,M,S,Pr
538.8,552.8,512.9,467.9,560,F,S,Pr
457.2,500.5,529.8,381.7,700,F,S,Pa
353.1,402.2,464.8,391.2,360,M,S,Pa
513.1,375.3,485.2,432.9,460,F,S,Pr
478.6,540.7,535.2,533.3,500,F,S,B
506.7,608.8,618.5,545.3,620,F,S,Pr
396.6,497.9,522,505.8,720,F,S,Pr
448.5,524.6,530.6,571.8,620,F,S,B
375.4,487.2,509.3,412.7,640,F,S,A
427,521.1,535,465.1,540,F,S,B
591.3,558.7,532,508.4,740,F,S,Pr
644,661.3,624.3,797.4,860,F,N,Pr
551.9,549.9,573.6,574.7,680,F,S,Pr
473.3,578.7,575.4,521.6,740,F,S,B
472.9,567.1,537.9,444,560,F,S,Pr
604.3,672.7,605.8,658.4,880,F,N,Pr
583.9,564.5,579.6,672.1,720,M,N,B
390.9,479.5,539.4,524,660,M,N,B
479.8,440.2,563.6,392.8,580,F,S,A
458.4,503.6,521.4,406.1,620,M,S,B
574.9,578.6,549.1,640.7,880,F,N,B
363.7,516,508.8,412.7,660,F,S,B
480.5,423.2,471.3,489.4,560,F,S,Pr
419.3,445.3,482.8,512.6,600,F,S,B
572.5,567.7,583.5,744.1,560,M,N,Pr
375.1,442.6,470.5,630.5,320,M,N,Pr
367.7,541.4,562.2,425.5,500,F,S,B
328.2,477.7,472.5,465,540,F,S,Pr
554.2,569,540,581.7,620,M,N,Pr
387.5,442.1,523.9,545.1,640,F,S,Pr
537.4,616.6,581.3,567.9,660,M,S,Pr
703.6,351.5,458.3,775.8,920,M,N,Pr
523,525.9,407,637.9,700,M,N,Pr
353.2,545.8,544.9,663.1,740,M,S,B
354.9,554.1,541.4,370,640,F,S,B
349.5,460.4,466.7,544.7,680,F,S,A
487,483.7,441.6,385.3,680,M,S,Pr
429.8,489.4,486.9,473,680,F,S,Pr
480.5,528.9,519.5,384.9,320,F,S,Pr
442.9,529.2,538.3,453.6,300,F,S,Pr
567.3,569.9,565,592.1,640,F,N,B
388.6,486.3,567,627.4,600,F,S,B
475.2,486.2,507.6,581.5,640,F,S,Pr
401.9,438.6,481.9,440.5,540,M,S,B
559.4,535.1,571.4,592.9,620,M,S,Pr
513.4,537.9,559.6,671.7,540,M,S,B
421.5,412.2,504.6,393.1,580,F,S,Pr
396.3,391.6,376.6,435.5,540,M,S,Pr
400.8,551.6,552.3,394.4,620,F,S,Pr
508.5,534.3,528.3,508.1,380,M,S,Pr
480.5,367.1,518.2,436.2,560,F,S,Pr
617.8,668.5,673.2,681.4,880,M,N,B
525.9,480,439,677.2,700,M,N,Pr
495.9,568.2,430.8,543.9,700,M,S,B
492.7,436.8,472.8,616.3,620,M,N,Pr
545.5,567.1,571,649.9,560,M,N,B
542.1,571,465.8,696,720,M,S,Pr
527.1,515.4,512,573.7,780,M,S,Pa
502.9,499.1,527,512.2,620,F,S,Pr
494.3,509.7,479.1,402.3,620,M,S,Pa
475.8,446.5,506.6,489.1,480,M,S,Pa
558.2,467.2,583.7,628.5,540,M,S,Pr
411.1,448.3,428.3,430,500,M,S,Pr
423.4,443.5,529.4,480.2,720,F,S,Pr
470.1,548.7,554.4,583.9,620,F,N,B
463.9,466.4,498.4,553,540,F,S,Pr
470.3,410.7,462.3,367.6,560,F,S,Pr
589.4,586.2,547.5,693.3,920,F,S,B
558.1,549.2,554.4,694.9,500,M,S,B
465.6,562.9,505.9,574.3,740,F,S,Pr
416.9,466,505.3,378,300,F,S,Pr
551.8,577.1,477.7,604.1,940,M,S,Pa
479.7,524.1,519.6,399.4,640,F,N,B
481.5,512.9,515,474.8,540,F,S,B
415.2,364.2,433.6,429.8,400,F,S,Pr
402.2,416.4,390.7,426.4,360,F,S,Pr
593.9,415.3,541.5,624.2,620,M,N,Pr
506.7,541.8,535.9,542.6,660,M,N,Pr
407.2,342.1,422.3,494.7,640,F,S,Pr
535,567.2,571.6,535.8,720,F,N,Pa
593.8,663.1,625.8,740.4,840,M,N,B
485.1,567.5,561.2,595.4,700,F,S,B
565.2,589.2,555.3,728.8,820,M,S,B
509.1,548,538.1,587.2,760,F,S,Pr
507.5,586,528.9,428.4,680,F,S,Pr
406.6,510.7,515.7,624,560,M,S,Pr
407.3,547.7,496.6,505.8,720,F,S,Pr
429.4,392,401.9,456,520,F,N,Pr
465.5,478.2,549.1,577.3,740,F,S,B
488.6,378.6,505.3,568.1,580,F,S,B
553.9,520.9,524.3,482.5,700,F,S,Pr
480,594,573.4,628.4,800,F,S,B
460.3,443.7,552.7,402.8,540,M,S,B
505.3,455.7,445,448.3,540,M,N,B
554.4,560.3,559.8,546.6,600,F,S,B
630.5,667.7,657.5,744.4,680,M,S,B
592.4,638.2,621.6,734.5,860,F,N,Pr
531.2,615.9,596.3,712.5,940,F,S,B
475,490.7,506.1,493.5,700,F,S,Pr
557.1,611.4,556.3,658.2,580,M,S,B
603.2,622.2,615,572.7,720,F,S,B
523.4,544.9,510.5,565.4,540,F,S,B
512.9,458.8,439.9,551.9,460,M,S,Pr
550.9,642.1,601.8,647.3,640,F,S,B
429.7,520.2,525.3,516.4,660,M,S,Pr
483.2,465.7,495.2,479,480,F,S,B
397.1,430.6,532,450.9,540,M,S,A
570.2,504,583,528,800,F,S,B
392,384.8,497.5,409.3,200,F,S,Pr
440.1,440.2,435.7,435.7,720,F,S,B
589.1,593.2,587.3,674.9,780,F,N,B
433.8,363.7,442.7,466,400,F,S,Pr
480.9,606.1,555.7,668.3,880,M,N,B
472.8,468,538.5,491.4,940,M,S,B
484.8,446.3,481.2,476,460,M,S,Pr
458.6,515.6,553,520.7,560,M,S,B
459.8,531.1,536.4,474,520,M,S,Pr
559.1,637.8,614.7,638.2,620,F,S,B
430.1,525.1,561.3,504.1,600,F,S,B
648.5,647.8,645.2,673.6,880,F,N,Pr
532.1,628.5,609.6,634.6,900,F,S,B
390.9,477.9,496.4,528.9,560,M,S,B
414.6,434.6,489.2,442.9,280,M,S,Pa
591.9,554.3,586,673.7,680,F,N,B
367.9,468.4,442.6,448.7,600,F,S,Pr
516.4,567.2,563.6,412.4,620,F,S,B
360.9,375.3,458.2,410.5,660,F,S,B
401.7,380.1,500.9,455.6,620,F,S,Pr
512.3,477.6,468.3,475,320,F,S,Pr
624.8,623.6,603.6,759,820,F,N,B
456.4,420.9,582.4,646,540,F,S,B
473.7,419.7,451,571.1,560,M,N,Pr
617.6,646.1,592.5,772.2,860,M,S,B
526.7,538.1,533.5,453.8,580,F,S,Pr
488,574.1,552.2,529.9,640,M,S,Pr
535.5,550.5,542.4,414.2,680,M,S,Pr
550.8,537.5,525.8,560.5,560,M,S,B
542.5,553.8,588.1,638.9,360,M,S,B
459.9,494.1,521.8,417.2,460,M,S,B
522,530.8,586.2,628.9,760,F,N,B
550.9,596.3,593.8,657.3,920,F,N,B
569.6,511.5,556.7,651.4,580,M,S,B
544,617.6,592.2,583.9,600,F,S,B
599.7,536.6,573.8,544.3,860,F,N,Pa
568.4,577.9,549.8,661.1,560,M,S,B
395.2,377.9,493.7,400.1,400,F,S,B
513.8,555,564.6,615.5,840,M,S,Pr
427,471.6,477.2,450,680,F,S,B
413.8,369.6,488.9,411.5,660,M,S,Pa
553.4,479.2,517.7,736.4,540,M,S,Pr
490.7,523.9,540.3,596.4,900,M,S,Pr
488.1,616.4,614.6,587.1,800,F,S,B
513.9,553.1,547.2,652.6,820,F,S,B
498.7,527,492.2,411,460,M,S,B
373.2,413.9,481.7,576.3,680,F,S,Pr
485.3,583.6,586.4,592,700,F,N,Pr
475.9,583.9,609.1,698.1,880,F,N,B
383.9,401.4,370.5,399.1,400,M,S,Pr
655.3,582.5,562.2,651,720,M,N,Pr
379.6,370,446.1,399.2,460,F,S,B
344.7,367,388.2,385.5,460,F,S,Pr
458.8,506.1,507.3,600.6,700,F,S,Pr
544.2,598.8,593.9,617.7,740,F,S,B
529.8,577.8,552.6,599.9,600,F,S,Pr
447.3,501.8,536.6,517.2,600,F,S,B
433.4,550.2,512.3,363.6,600,M,S,Pr
444,537.6,526.1,702.7,920,M,N,B
373.8,417.4,470.2,461.7,540,F,S,B
534.6,571.8,599.5,526.3,660,F,S,B
568.6,544.6,605.5,487.7,800,F,N,B
649.4,688.5,637.5,801.1,940,M,N,B
580.8,619,618.2,579.8,640,F,S,B
495.4,498.8,560.8,657.3,780,M,N,B
376.2,348.3,478.4,397.7,460,F,S,Pa
547.3,572.2,597.2,675.1,900,F,S,B
374.6,502.5,477.5,554.1,600,F,S,Pr
598.2,630.2,593.9,659.7,640,M,S,Pr
549.8,583.2,541.2,497.8,520,F,S,B
602.8,625.3,597.7,510.8,580,M,S,B
594.2,541.8,545.8,463.8,780,F,N,Pr
528.8,450.7,385.5,447.9,680,M,S,A
438.5,414.4,493.6,488.2,540,F,N,B
398.6,412.8,476.5,441.4,500,M,S,B
384.6,470.6,484.2,607.2,580,M,S,Pr
450.9,517.2,525.3,502,820,F,S,B
380.7,363.5,464.4,405.2,500,M,S,Pa
370.6,558.8,529.8,520.5,520,M,N,A
455,519,493.4,509.3,620,M,S,Pr
458.1,515.3,559,455.7,460,F,S,Pr
327.9,510.4,564.3,384.6,460,F,S,B
371.7,361.2,385.1,463.5,260,M,S,B
511.9,555.5,564.5,524.3,560,F,S,B
749.6,700.7,612.6,850.7,860,M,N,A
420.9,393.6,462.3,427.7,300,F,S,B
445,587.7,597.9,546,880,F,S,Pr
461.2,391.7,514.3,639.3,640,M,S,A
632,597.5,598.1,646.9,920,F,N,B
473.8,539.5,539.7,546.7,560,F,S,B
401.3,514.7,518.4,434.9,460,M,S,Pr
456.1,545.6,512.7,422.7,460,M,S,Pr
535.2,600.9,585.3,642.7,720,F,S,Pr
484.4,484.1,567.7,492.1,760,F,S,Pr
484.7,434.8,424,409.6,500,M,S,Pr
346.6,423.9,498.9,408.2,520,F,S,B
544.8,505.8,561,627.3,780,F,S,Pr
494.1,543.1,522.7,597.5,520,M,S,B
447.2,468.8,366.9,516.6,420,M,S,Pr
467.8,395.6,511.8,459.1,280,F,S,Pr
454.9,420.7,537.5,622.7,560,F,S,B
510.6,451.4,476.7,372.5,480,F,S,Pr
588.9,520.9,504.6,569.4,600,M,S,B
462.6,520.1,517.8,584.3,720,F,S,Pr
686.1,628,621.9,752.2,820,F,N,B
536.8,517.7,552.3,563.5,440,M,S,B
534.6,531.2,581.8,474,720,F,N,B
384.5,512.9,587.5,525.4,640,F,S,Pa
429.3,511.2,537.6,557.2,800,F,S,Pr
565.6,602.1,561.1,725.2,940,F,S,Pr
392.5,634.9,601.9,705.1,900,M,S,Pa
371,453.4,525.1,438,560,F,S,A
368.9,436.2,458.7,396.7,500,F,S,A
410.9,556.9,493.8,468.9,600,M,S,B
650.3,591,580,826.2,940,M,N,B
402.4,495.6,410.1,544,480,M,S,Pr
452.4,506.8,515.9,474,640,F,S,B
452.2,470.3,475.1,489.5,600,F,S,Pr
551.1,465.4,509.1,561.9,760,M,N,B
396.9,570.8,566.2,537.1,580,M,S,Pr
563.4,658.1,629.9,626,660,M,S,B
528,531.5,518.2,401.1,820,F,S,Pr
354.6,335.7,430.3,400,280,F,S,Pa
556.2,584.8,589.7,555.7,680,F,S,B
406,513,543.3,459.5,540,F,S,B
473.2,493.6,524.3,502.3,480,M,S,Pa
531.1,418.1,553.3,598.3,720,F,N,B
382.7,468.1,402.7,387.7,280,F,S,B
490.2,496.7,505,448.3,540,M,S,Pr
522.6,578.3,553.6,563,640,M,S,B
447.7,503.7,520.2,589.5,540,F,S,B
424.8,534.5,541.4,496.3,660,F,S,B
